Statistiche Fantacalcio Stagione 2019 20,,,,,,,,,,,,,,,,,
Id,R,Rm,Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
4442,D,Dd;Dc,Cistana,Brescia,21,5.79,5.74,1,0,0,0,0,0,0,6,1,0
4492,D,Ds;E,Balkovec,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
4504,D,Dc,Mangraviti,Brescia,13,5.42,5.35,0,0,0,0,0,0,0,2,0,0
4526,D,E,Arana,Atalanta,2,6,6,0,0,0,0,0,0,0,0,0,0
4925,D,Ds;Dc,Carboni A.,Cagliari,6,5.5,5,0,0,0,0,0,0,0,2,2,0
5,D,Dd;E,Almici,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
45,D,Dd;Dc,Ferrari A.,Sampdoria,12,5.83,5.67,0,0,0,0,0,0,0,4,0,0
47,D,Dc,Gastaldello,Brescia,7,5.5,5.43,0,0,0,0,0,0,0,1,0,0
144,D,Dc,Tonelli,Sampdoria,9,5.83,5.61,0,0,0,0,0,0,0,4,0,0
294,D,Dc,Rugani,Juventus,8,5.31,5.19,0,0,0,0,0,0,0,2,0,0
295,D,Ds;E,Asamoah,Inter,8,6.12,6.19,0,0,0,0,0,0,1,1,0,0
358,D,Dd;Ds;E,De Sciglio,Juventus,7,6,5.93,0,0,0,0,0,0,0,1,0,0
393,D,Ds;Dc,Luperto,Napoli,7,5.64,5.5,0,0,0,0,0,0,0,2,0,0
457,D,Dd;Ds;E,Crescenzi,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
491,D,Dc,Salamon,SPAL,5,5.6,5.5,0,0,0,0,0,0,0,1,0,0
493,D,Ds;Dc,Zukanovic,SPAL,3,5.67,5.5,0,0,0,0,0,0,0,1,0,0
630,D,Dd;E,Sala,SPAL,14,5.57,5.54,0,0,0,0,0,0,0,1,0,0
640,D,Dc,Chiriches,Sassuolo,9,5.61,5.61,0,0,0,0,0,0,0,0,0,0
708,D,Dc,Felipe,SPAL,14,5.46,5.32,0,0,0,0,0,0,0,5,0,0
805,D,Dd;E,Fiamozzi,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0
824,D,Dd;E,Adjapong,Verona,4,5.5,5.5,0,0,0,0,0,0,0,0,0,0
1868,D,Ds;E,Murru,Sampdoria,27,5.54,5.35,0,0,0,0,0,0,0,4,1,1
1876,D,Ds;E,Pajac,Genoa,10,5.65,5.6,0,0,0,0,0,0,0,1,0,0
2129,D,Dc,Simic L,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0
2168,D,Dc,Musacchio,Milan,18,5.72,5.56,0,0,0,0,0,0,0,4,1,0
